Maaned,Gjennomsnitts last (MW),Maks Last (MW),Min Last (MW),Standard Avvik
Januar,19879.88,23414.45,16044.31,1600.76
Februar,19412.6,22580.13,15787.15,1369.24
Mars,17037.83,21388.71,14062.85,1128.47
April,15090.06,18677.24,12629.49,1007.82
Mai,13554.93,16529.73,11672.24,894.83
Juni,12772.59,14514.56,10424.07,846.1
Juli,12121.26,13918.77,8132.75,749.75
August,12981.76,15308.68,10493.05,935.75
September,13415.96,16173.05,11207.17,1048.13
Oktober,15191.48,18782.19,11980.32,1345.39
November,17606.89,22193.98,13137.72,2025.78
Desember,18152.64,21598.76,14775.15,1399.11
